M [ 0 , <decl-spec> ] = GOTO 1
M [ 4 , const ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 4 , double ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 4 , enum ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 4 , float ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 4 , int ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 4 , long ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 4 , short ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 4 , signed ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 4 , struct ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 4 , typedef ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 4 , unsigned ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 4 , void ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 5 , (EOF) ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , char ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , const ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , double ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , enum ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , float ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , int ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , long ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , short ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , signed ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , struct ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , typedef ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , unsigned ] = REDUCE <ext-decl> -> <func-def> 
M [ 5 , void ] = REDUCE <ext-decl> -> <func-def> 
M [ 6 , <decl-spec> ] = GOTO 34
M [ 6 , <enum-spec> ] = GOTO 3
M [ 6 , <storage-class-spec> ] = GOTO 6
M [ 6 , <struct-union-spec> ] = GOTO 7
M [ 6 , <struct-union> ] = GOTO 8
M [ 6 , <type-qual> ] = GOTO 10
M [ 6 , <type-spec> ] = GOTO 11
M [ 6 , DELIM_LPAR ] = REDUCE <decl-spec> -> <storage-class-spec> 
M [ 6 , DELIM_SEMICOLON ] = REDUCE <decl-spec> -> <storage-class-spec> 
M [ 6 , IDENTIFIER ] = REDUCE <decl-spec> -> <storage-class-spec> 
M [ 6 , OP_MUL ] = REDUCE <decl-spec> -> <storage-class-spec> 
M [ 6 , char ] = SHIFT 12
M [ 6 , const ] = SHIFT 13
M [ 6 , double ] = SHIFT 14
M [ 6 , enum ] = SHIFT 15
M [ 6 , float ] = SHIFT 16
M [ 6 , int ] = SHIFT 17
M [ 6 , long ] = SHIFT 18
M [ 6 , short ] = SHIFT 19
M [ 6 , signed ] = SHIFT 20
M [ 6 , struct ] = SHIFT 21
M [ 6 , typedef ] = SHIFT 22
M [ 6 , unsigned ] = SHIFT 23
M [ 6 , void ] = SHIFT 24
M [ 7 , DELIM_LPAR ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , DELIM_SEMICOLON ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , IDENTIFIER ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , OP_MUL ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , char ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , const ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , double ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , enum ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , float ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , int ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , long ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , short ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , signed ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , struct ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , typedef ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , unsigned ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 7 , void ] = REDUCE <type-spec> -> <struct-union-spec> 
M [ 8 , DELIM_LCURBRACE ] = SHIFT 35
M [ 8 , IDENTIFIER ] = SHIFT 36
M [ 9 , (EOF) ] = ACCEPT
M [ 9 , <decl-spec> ] = GOTO 1
M [ 9 , <decl> ] = GOTO 2
M [ 9 , <enum-spec> ] = GOTO 3
M [ 9 , <ext-decl> ] = GOTO 37
M [ 9 , <func-def> ] = GOTO 5
M [ 9 , <storage-class-spec> ] = GOTO 6
M [ 9 , <struct-union-spec> ] = GOTO 7
M [ 9 , <struct-union> ] = GOTO 8
M [ 9 , <type-qual> ] = GOTO 10
M [ 9 , <type-spec> ] = GOTO 11
M [ 9 , char ] = SHIFT 12
M [ 9 , const ] = SHIFT 13
M [ 9 , double ] = SHIFT 14
M [ 9 , enum ] = SHIFT 15
M [ 9 , float ] = SHIFT 16
M [ 9 , int ] = SHIFT 17
M [ 9 , long ] = SHIFT 18
M [ 9 , short ] = SHIFT 19
M [ 9 , signed ] = SHIFT 20
M [ 9 , struct ] = SHIFT 21
M [ 9 , typedef ] = SHIFT 22
M [ 9 , unsigned ] = SHIFT 23
M [ 9 , void ] = SHIFT 24
M [ 10 , <decl-spec> ] = GOTO 38
M [ 10 , <enum-spec> ] = GOTO 3
M [ 10 , <storage-class-spec> ] = GOTO 6
M [ 10 , <struct-union-spec> ] = GOTO 7
M [ 10 , <struct-union> ] = GOTO 8
M [ 10 , <type-qual> ] = GOTO 10
M [ 10 , <type-spec> ] = GOTO 11
M [ 10 , DELIM_LPAR ] = REDUCE <decl-spec> -> <type-qual> 
M [ 10 , DELIM_SEMICOLON ] = REDUCE <decl-spec> -> <type-qual> 
M [ 10 , IDENTIFIER ] = REDUCE <decl-spec> -> <type-qual> 
M [ 10 , OP_MUL ] = REDUCE <decl-spec> -> <type-qual> 
M [ 10 , char ] = SHIFT 12
M [ 10 , const ] = SHIFT 13
M [ 10 , double ] = SHIFT 14
M [ 10 , enum ] = SHIFT 15
M [ 10 , float ] = SHIFT 16
M [ 10 , int ] = SHIFT 17
M [ 10 , long ] = SHIFT 18
M [ 10 , short ] = SHIFT 19
M [ 10 , signed ] = SHIFT 20
M [ 10 , struct ] = SHIFT 21
M [ 10 , typedef ] = SHIFT 22
M [ 10 , unsigned ] = SHIFT 23
M [ 10 , void ] = SHIFT 24
M [ 11 , <decl-spec> ] = GOTO 39
M [ 11 , <enum-spec> ] = GOTO 3
M [ 11 , <storage-class-spec> ] = GOTO 6
M [ 11 , <struct-union-spec> ] = GOTO 7
M [ 11 , <struct-union> ] = GOTO 8
M [ 11 , <type-qual> ] = GOTO 10
M [ 11 , <type-spec> ] = GOTO 11
M [ 11 , DELIM_LPAR ] = REDUCE <decl-spec> -> <type-spec> 
M [ 11 , DELIM_SEMICOLON ] = REDUCE <decl-spec> -> <type-spec> 
M [ 11 , IDENTIFIER ] = REDUCE <decl-spec> -> <type-spec> 
M [ 11 , OP_MUL ] = REDUCE <decl-spec> -> <type-spec> 
M [ 11 , char ] = SHIFT 12
M [ 11 , const ] = SHIFT 13
M [ 11 , double ] = SHIFT 14
M [ 11 , enum ] = SHIFT 15
M [ 11 , float ] = SHIFT 16
M [ 11 , int ] = SHIFT 17
M [ 11 , long ] = SHIFT 18
M [ 11 , short ] = SHIFT 19
M [ 11 , signed ] = SHIFT 20
M [ 11 , struct ] = SHIFT 21
M [ 11 , typedef ] = SHIFT 22
M [ 11 , unsigned ] = SHIFT 23
M [ 11 , void ] = SHIFT 24
M [ 12 , DELIM_LPAR ] = REDUCE <type-spec> -> char 
M [ 12 , DELIM_SEMICOLON ] = REDUCE <type-spec> -> char 
M [ 12 , IDENTIFIER ] = REDUCE <type-spec> -> char 
M [ 12 , OP_MUL ] = REDUCE <type-spec> -> char 
M [ 12 , char ] = REDUCE <type-spec> -> char 
M [ 12 , const ] = REDUCE <type-spec> -> char 
M [ 12 , double ] = REDUCE <type-spec> -> char 
M [ 12 , enum ] = REDUCE <type-spec> -> char 
M [ 12 , float ] = REDUCE <type-spec> -> char 
M [ 12 , int ] = REDUCE <type-spec> -> char 
M [ 12 , long ] = REDUCE <type-spec> -> char 
M [ 12 , short ] = REDUCE <type-spec> -> char 
M [ 12 , signed ] = REDUCE <type-spec> -> char 
M [ 12 , struct ] = REDUCE <type-spec> -> char 
M [ 12 , typedef ] = REDUCE <type-spec> -> char 
M [ 12 , unsigned ] = REDUCE <type-spec> -> char 
M [ 12 , void ] = REDUCE <type-spec> -> char 
M [ 13 , DELIM_LPAR ] = REDUCE <type-qual> -> const 
M [ 13 , DELIM_SEMICOLON ] = REDUCE <type-qual> -> const 
M [ 13 , IDENTIFIER ] = REDUCE <type-qual> -> const 
M [ 13 , OP_MUL ] = REDUCE <type-qual> -> const 
M [ 13 , char ] = REDUCE <type-qual> -> const 
M [ 13 , const ] = REDUCE <type-qual> -> const 
M [ 13 , double ] = REDUCE <type-qual> -> const 
M [ 13 , enum ] = REDUCE <type-qual> -> const 
M [ 13 , float ] = REDUCE <type-qual> -> const 
M [ 13 , int ] = REDUCE <type-qual> -> const 
M [ 13 , long ] = REDUCE <type-qual> -> const 
M [ 13 , short ] = REDUCE <type-qual> -> const 
M [ 13 , signed ] = REDUCE <type-qual> -> const 
M [ 13 , struct ] = REDUCE <type-qual> -> const 
M [ 13 , typedef ] = REDUCE <type-qual> -> const 
M [ 13 , unsigned ] = REDUCE <type-qual> -> const 
M [ 13 , void ] = REDUCE <type-qual> -> const 
M [ 14 , DELIM_LPAR ] = REDUCE <type-spec> -> double 
M [ 14 , DELIM_SEMICOLON ] = REDUCE <type-spec> -> double 
M [ 14 , IDENTIFIER ] = REDUCE <type-spec> -> double 
M [ 14 , OP_MUL ] = REDUCE <type-spec> -> double 
M [ 14 , char ] = REDUCE <type-spec> -> double 
M [ 14 , const ] = REDUCE <type-spec> -> double 
M [ 14 , double ] = REDUCE <type-spec> -> double 
M [ 14 , enum ] = REDUCE <type-spec> -> double 
M [ 14 , float ] = REDUCE <type-spec> -> double 
M [ 14 , int ] = REDUCE <type-spec> -> double 
M [ 14 , long ] = REDUCE <type-spec> -> double 
M [ 14 , short ] = REDUCE <type-spec> -> double 
M [ 14 , signed ] = REDUCE <type-spec> -> double 
M [ 14 , struct ] = REDUCE <type-spec> -> double 
M [ 14 , typedef ] = REDUCE <type-spec> -> double 
M [ 14 , unsigned ] = REDUCE <type-spec> -> double 
M [ 14 , void ] = REDUCE <type-spec> -> double 
M [ 15 , DELIM_LCURBRACE ] = SHIFT 40
M [ 15 , IDENTIFIER ] = SHIFT 41
M [ 16 , DELIM_LPAR ] = REDUCE <type-spec> -> float 
M [ 16 , DELIM_SEMICOLON ] = REDUCE <type-spec> -> float 
M [ 16 , IDENTIFIER ] = REDUCE <type-spec> -> float 
M [ 16 , OP_MUL ] = REDUCE <type-spec> -> float 
M [ 16 , char ] = REDUCE <type-spec> -> float 
M [ 16 , const ] = REDUCE <type-spec> -> float 
M [ 16 , double ] = REDUCE <type-spec> -> float 
M [ 16 , enum ] = REDUCE <type-spec> -> float 
M [ 16 , float ] = REDUCE <type-spec> -> float 
M [ 16 , int ] = REDUCE <type-spec> -> float 
M [ 16 , long ] = REDUCE <type-spec> -> float 
M [ 16 , short ] = REDUCE <type-spec> -> float 
M [ 16 , signed ] = REDUCE <type-spec> -> float 
M [ 16 , struct ] = REDUCE <type-spec> -> float 
M [ 16 , typedef ] = REDUCE <type-spec> -> float 
M [ 16 , unsigned ] = REDUCE <type-spec> -> float 
M [ 16 , void ] = REDUCE <type-spec> -> float 
M [ 17 , DELIM_LPAR ] = REDUCE <type-spec> -> int 
M [ 17 , DELIM_SEMICOLON ] = REDUCE <type-spec> -> int 
M [ 17 , IDENTIFIER ] = REDUCE <type-spec> -> int 
M [ 17 , OP_MUL ] = REDUCE <type-spec> -> int 
M [ 17 , char ] = REDUCE <type-spec> -> int 
M [ 17 , const ] = REDUCE <type-spec> -> int 
M [ 17 , double ] = REDUCE <type-spec> -> int 
M [ 17 , enum ] = REDUCE <type-spec> -> int 
M [ 17 , float ] = REDUCE <type-spec> -> int 
M [ 17 , int ] = REDUCE <type-spec> -> int 
M [ 17 , long ] = REDUCE <type-spec> -> int 
M [ 17 , short ] = REDUCE <type-spec> -> int 
M [ 17 , signed ] = REDUCE <type-spec> -> int 
M [ 17 , struct ] = REDUCE <type-spec> -> int 
M [ 17 , typedef ] = REDUCE <type-spec> -> int 
M [ 17 , unsigned ] = REDUCE <type-spec> -> int 
M [ 17 , void ] = REDUCE <type-spec> -> int 
M [ 18 , DELIM_LPAR ] = REDUCE <type-spec> -> long 
M [ 18 , DELIM_SEMICOLON ] = REDUCE <type-spec> -> long 
M [ 18 , IDENTIFIER ] = REDUCE <type-spec> -> long 
M [ 18 , OP_MUL ] = REDUCE <type-spec> -> long 
M [ 18 , char ] = REDUCE <type-spec> -> long 
M [ 18 , const ] = REDUCE <type-spec> -> long 
M [ 18 , double ] = REDUCE <type-spec> -> long 
M [ 18 , enum ] = REDUCE <type-spec> -> long 
M [ 18 , float ] = REDUCE <type-spec> -> long 
M [ 18 , int ] = REDUCE <type-spec> -> long 
M [ 18 , long ] = REDUCE <type-spec> -> long 
M [ 18 , short ] = REDUCE <type-spec> -> long 
M [ 18 , signed ] = REDUCE <type-spec> -> long 
M [ 18 , struct ] = REDUCE <type-spec> -> long 
M [ 18 , typedef ] = REDUCE <type-spec> -> long 
M [ 18 , unsigned ] = REDUCE <type-spec> -> long 
M [ 18 , void ] = REDUCE <type-spec> -> long 
M [ 19 , DELIM_LPAR ] = REDUCE <type-spec> -> short 
M [ 19 , DELIM_SEMICOLON ] = REDUCE <type-spec> -> short 
M [ 19 , IDENTIFIER ] = REDUCE <type-spec> -> short 
M [ 19 , OP_MUL ] = REDUCE <type-spec> -> short 
M [ 19 , char ] = REDUCE <type-spec> -> short 
M [ 19 , const ] = REDUCE <type-spec> -> short 
M [ 19 , double ] = REDUCE <type-spec> -> short 
M [ 19 , enum ] = REDUCE <type-spec> -> short 
M [ 19 , float ] = REDUCE <type-spec> -> short 
M [ 19 , int ] = REDUCE <type-spec> -> short 
M [ 19 , long ] = REDUCE <type-spec> -> short 
M [ 19 , short ] = REDUCE <type-spec> -> short 
M [ 19 , signed ] = REDUCE <type-spec> -> short 
M [ 19 , struct ] = REDUCE <type-spec> -> short 
M [ 19 , typedef ] = REDUCE <type-spec> -> short 
M [ 19 , unsigned ] = REDUCE <type-spec> -> short 
M [ 19 , void ] = REDUCE <type-spec> -> short 
M [ 20 , DELIM_LPAR ] = REDUCE <type-spec> -> signed 
M [ 20 , DELIM_SEMICOLON ] = REDUCE <type-spec> -> signed 
M [ 20 , IDENTIFIER ] = REDUCE <type-spec> -> signed 
M [ 20 , OP_MUL ] = REDUCE <type-spec> -> signed 
M [ 20 , char ] = REDUCE <type-spec> -> signed 
M [ 20 , const ] = REDUCE <type-spec> -> signed 
M [ 20 , double ] = REDUCE <type-spec> -> signed 
M [ 20 , enum ] = REDUCE <type-spec> -> signed 
M [ 20 , float ] = REDUCE <type-spec> -> signed 
M [ 20 , int ] = REDUCE <type-spec> -> signed 
M [ 20 , long ] = REDUCE <type-spec> -> signed 
M [ 20 , short ] = REDUCE <type-spec> -> signed 
M [ 20 , signed ] = REDUCE <type-spec> -> signed 
M [ 20 , struct ] = REDUCE <type-spec> -> signed 
M [ 20 , typedef ] = REDUCE <type-spec> -> signed 
M [ 20 , unsigned ] = REDUCE <type-spec> -> signed 
M [ 20 , void ] = REDUCE <type-spec> -> signed 
M [ 21 , DELIM_LCURBRACE ] = REDUCE <struct-union> -> struct 
M [ 21 , IDENTIFIER ] = REDUCE <struct-union> -> struct 
M [ 22 , DELIM_LPAR ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , DELIM_SEMICOLON ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , IDENTIFIER ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , OP_MUL ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , char ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , const ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , double ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , enum ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , float ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , int ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , long ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , short ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , signed ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , struct ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , typedef ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , unsigned ] = REDUCE <storage-class-spec> -> typedef 
M [ 22 , void ] = REDUCE <storage-class-spec> -> typedef 
M [ 23 , DELIM_LPAR ] = REDUCE <type-spec> -> unsigned 
M [ 23 , DELIM_SEMICOLON ] = REDUCE <type-spec> -> unsigned 
M [ 23 , IDENTIFIER ] = REDUCE <type-spec> -> unsigned 
M [ 23 , OP_MUL ] = REDUCE <type-spec> -> unsigned 
M [ 23 , char ] = REDUCE <type-spec> -> unsigned 
M [ 23 , const ] = REDUCE <type-spec> -> unsigned 
M [ 23 , double ] = REDUCE <type-spec> -> unsigned 
M [ 23 , enum ] = REDUCE <type-spec> -> unsigned 
M [ 23 , float ] = REDUCE <type-spec> -> unsigned 
M [ 23 , int ] = REDUCE <type-spec> -> unsigned 
M [ 23 , long ] = REDUCE <type-spec> -> unsigned 
M [ 23 , short ] = REDUCE <type-spec> -> unsigned 
M [ 23 , signed ] = REDUCE <type-spec> -> unsigned 
M [ 23 , struct ] = REDUCE <type-spec> -> unsigned 
M [ 23 , typedef ] = REDUCE <type-spec> -> unsigned 
M [ 23 , unsigned ] = REDUCE <type-spec> -> unsigned 
M [ 23 , void ] = REDUCE <type-spec> -> unsigned 
M [ 24 , DELIM_LPAR ] = REDUCE <type-spec> -> void 
M [ 24 , DELIM_SEMICOLON ] = REDUCE <type-spec> -> void 
M [ 24 , IDENTIFIER ] = REDUCE <type-spec> -> void 
M [ 24 , OP_MUL ] = REDUCE <type-spec> -> void 
M [ 24 , char ] = REDUCE <type-spec> -> void 
M [ 24 , const ] = REDUCE <type-spec> -> void 
M [ 24 , double ] = REDUCE <type-spec> -> void 
M [ 24 , enum ] = REDUCE <type-spec> -> void 
M [ 24 , float ] = REDUCE <type-spec> -> void 
M [ 24 , int ] = REDUCE <type-spec> -> void 
M [ 24 , long ] = REDUCE <type-spec> -> void 
M [ 24 , short ] = REDUCE <type-spec> -> void 
M [ 24 , signed ] = REDUCE <type-spec> -> void 
M [ 24 , struct ] = REDUCE <type-spec> -> void 
M [ 24 , typedef ] = REDUCE <type-spec> -> void 
M [ 24 , unsigned ] = REDUCE <type-spec> -> void 
M [ 24 , void ] = REDUCE <type-spec> -> void 
M [ 25 , <comp-stmt> ] = GOTO 42
M [ 25 , <decl-list> ] = GOTO 43
M [ 25 , <decl-spec> ] = GOTO 44
M [ 25 , <decl> ] = GOTO 45
M [ 25 , <enum-spec> ] = GOTO 3
M [ 25 , <storage-class-spec> ] = GOTO 6
M [ 25 , <struct-union-spec> ] = GOTO 7
M [ 25 , <struct-union> ] = GOTO 8
M [ 25 , <type-qual> ] = GOTO 10
M [ 25 , <type-spec> ] = GOTO 11
M [ 25 , DELIM_COMMA ] = REDUCE <init-declarator> -> <declarator> 
M [ 25 , DELIM_LCURBRACE ] = SHIFT 46
M [ 25 , DELIM_SEMICOLON ] = REDUCE <init-declarator> -> <declarator> 
M [ 25 , OP_ASN ] = SHIFT 47
M [ 25 , char ] = SHIFT 12
M [ 25 , const ] = SHIFT 13
M [ 25 , double ] = SHIFT 14
M [ 25 , enum ] = SHIFT 15
M [ 25 , float ] = SHIFT 16
M [ 25 , int ] = SHIFT 17
M [ 25 , long ] = SHIFT 18
M [ 25 , short ] = SHIFT 19
M [ 25 , signed ] = SHIFT 20
M [ 25 , struct ] = SHIFT 21
M [ 25 , typedef ] = SHIFT 22
M [ 25 , unsigned ] = SHIFT 23
M [ 25 , void ] = SHIFT 24
M [ 26 , DELIM_COMMA ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , DELIM_LCURBRACE ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , DELIM_LPAR ] = SHIFT 48
M [ 26 , DELIM_LSQBRACKET ] = SHIFT 49
M [ 26 , DELIM_SEMICOLON ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , OP_ASN ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , char ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , const ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , double ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , enum ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , float ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , int ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , long ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , short ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , signed ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , struct ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , typedef ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , unsigned ] = REDUCE <declarator> -> <direct-declarator> 
M [ 26 , void ] = REDUCE <declarator> -> <direct-declarator> 
M [ 27 , DELIM_COMMA ] = SHIFT 50
M [ 27 , DELIM_SEMICOLON ] = SHIFT 51
M [ 28 , DELIM_COMMA ] = REDUCE <init-declarator-list> -> <init-declarator> 
M [ 28 , DELIM_SEMICOLON ] = REDUCE <init-declarator-list> -> <init-declarator> 
M [ 29 , <direct-declarator> ] = GOTO 52
M [ 29 , DELIM_LPAR ] = SHIFT 30
M [ 29 , IDENTIFIER ] = SHIFT 32
M [ 30 , <declarator> ] = GOTO 53
M [ 30 , <direct-declarator> ] = GOTO 54
M [ 30 , <pointer> ] = GOTO 55
M [ 30 , DELIM_LPAR ] = SHIFT 56
M [ 30 , IDENTIFIER ] = SHIFT 57
M [ 30 , OP_MUL ] = SHIFT 33
M [ 31 , (EOF) ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , char ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , const ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , double ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , enum ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , float ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , int ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , long ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , short ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , signed ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , struct ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , typedef ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , unsigned ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 31 , void ] = REDUCE <decl> -> <decl-spec> DELIM_SEMICOLON 
M [ 32 , DELIM_COMMA ] = REDUCE <direct-declarator> -> IDENTIFIER 
M [ 32 , DELIM_LCURBRACE ] = REDUCE <direct-declarator> -> IDENTIFIER 
M [ 32 , DELIM_LPAR ] = REDUCE <direct-declarator> -> IDENTIFIER 
M [ 32 , DELIM_LSQBRACKET ] = REDUCE <direct-declarator> -> IDENTIFIER 
